Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
32369840,01/08/2016 10:22:00 AM,01/09/2016 02:20:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11226,2255 BEDFORD AVENUE,BEDFORD AVENUE,ERASMUS ST,SNYDER AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,01/09/2016 02:20:00 AM,17 BROOKLYN,3051070003,BROOKLYN,996526,175701,PHONE,Unspecified,BROOKLYN,,,,,,,,40.648926807480784,-73.95576108392434,"(40.648926807480784, -73.95576108392434)"
32369841,01/08/2016 07:03:00 AM,01/08/2016 07:03:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11234,,,AVENUE W,E 69 ST,AVENUE W,EAST 69 STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/08/2016 07:03:00 AM,18 BROOKLYN,,BROOKLYN,1010545,163577,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61561848537587,-73.90528820225904,"(40.61561848537587, -73.90528820225904)"
32369843,01/08/2016 12:31:00 PM,01/08/2016 02:30:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10003,247 EAST   20 STREET,EAST   20 STREET,3 AVE,2 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/08/2016 02:30:00 PM,06 MANHATTAN,1009010026,MANHATTAN,988917,207569,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73640437099404,-73.98315949246064,"(40.73640437099404, -73.98315949246064)"
32369844,01/08/2016 01:02:00 PM,01/08/2016 01:02:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11232,764 43 STREET,43 STREET,7 AVE,8 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/08/2016 01:02:00 PM,07 BROOKLYN,3007320035,BROOKLYN,984109,174470,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6455564859909,-74.00050809480454,"(40.6455564859909, -74.00050809480454)"
32369845,01/08/2016 07:56:00 PM,03/22/2016 07:50:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11363,,,HOLLYWOOD AVE,WEST DR,HOLLYWOOD AVENUE,WEST DRIVE,INTERSECTION,Little Neck,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,03/22/2016 07:50:00 PM,11 QUEENS,,QUEENS,1052731,221869,PHONE,Unspecified,QUEENS,,,,,,,,40.77539018621683,-73.75274662767012,"(40.77539018621683, -73.75274662767012)"
32369846,01/08/2016 05:29:00 PM,01/09/2016 08:06:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11420,114-07 115 STREET,115 STREET,LINDEN BLVD,ROCKAWAY BLVD,,,ADDRESS,South Ozone Park,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/09/2016 08:06:00 AM,10 QUEENS,4116420002,QUEENS,1033140,186198,PHONE,Unspecified,QUEENS,,,,,,,,40.677612248887016,-73.82373963226053,"(40.677612248887016, -73.82373963226053)"
32369847,01/08/2016 02:34:00 PM,01/09/2016 01:07:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11434,131-15 MERRICK BOULEVARD,MERRICK BOULEVARD,130 RD,BELKNAP ST,,,ADDRESS,Jamaica,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/09/2016 01:07:00 PM,12 QUEENS,4126960037,QUEENS,1050488,186926,PHONE,Unspecified,QUEENS,,,,,,,,40.67949762594792,-73.7611889773923,"(40.67949762594792, -73.7611889773923)"
32369848,01/08/2016 11:12:00 AM,01/08/2016 11:12:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11210,1144 EAST   29 STREET,EAST   29 STREET,AVENUE K,AVENUE L,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/08/2016 11:12:00 AM,14 BROOKLYN,3076280063,BROOKLYN,998902,166316,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62316337269882,-73.9472190932922,"(40.62316337269882, -73.9472190932922)"
32369849,01/08/2016 12:33:00 PM,01/09/2016 12:55:00 PM,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11357,,,16 AVE,160 ST,16 AVENUE,160 STREET,INTERSECTION,Whitestone,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/09/2016 12:55:00 PM,07 QUEENS,,QUEENS,1038930,225216,PHONE,Unspecified,QUEENS,,,,,,,,40.784672939515595,-73.80254825723279,"(40.784672939515595, -73.80254825723279)"
32369850,01/08/2016 11:40:00 AM,01/27/2016 01:15:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11411,216-11 121 AVENUE,121 AVENUE,SPRINGFIELD BLVD,217 ST,,,ADDRESS,Cambria Heights,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,01/27/2016 01:15:00 PM,13 QUEENS,4127990058,QUEENS,1054417,190635,PHONE,Unspecified,QUEENS,,,,,,,,40.68964766931903,-73.74698501862503,"(40.68964766931903, -73.74698501862503)"
32369851,01/08/2016 09:30:00 AM,01/09/2016 02:10:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11102,27-21 27 STREET,27 STREET,NEWTOWN AVE,30 AVE,,,ADDRESS,Astoria,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/09/2016 02:10:00 PM,01 QUEENS,4005750038,QUEENS,1005488,219591,PHONE,Unspecified,QUEENS,,,,,,,,40.769377432923434,-73.92332637199281,"(40.769377432923434, -73.92332637199281)"
32369852,01/08/2016 09:27:00 AM,01/09/2016 01:35:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11378,49-16 MASPETH AVENUE,MASPETH AVENUE,49 ST,49 LN,,,ADDRESS,Maspeth,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/09/2016 01:35:00 PM,05 QUEENS,4026030105,QUEENS,1006936,202448,PHONE,Unspecified,QUEENS,,,,,,,,40.72232062004894,-73.91815661623123,"(40.72232062004894, -73.91815661623123)"
32369853,01/08/2016 10:17:00 AM,01/11/2016 09:30:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11215,240 10 STREET,10 STREET,3 AVE,4 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/11/2016 09:30:00 AM,06 BROOKLYN,3010150020,BROOKLYN,986858,183524,PHONE,Unspecified,BROOKLYN,,,,,,,,40.670407344418294,-73.99059854627224,"(40.670407344418294, -73.99059854627224)"
32369855,01/08/2016 12:19:24 PM,01/13/2016 02:31:27 PM,DOF,Senior Citizen Rent Increase Exemption Unit,SCRIE,Copy of Approval Order,Senior Address,10032,,,,,,,ADDRESS,NEW YORK,,N/A,Closed,01/22/2016 12:19:24 PM,We have mailed the requested document(s).,01/13/2016 02:31:27 PM,12 MANHATTAN,1021370119,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
32369856,01/08/2016 12:09:00 PM,02/09/2016 08:28:00 AM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,10003,217 EAST   17 STREET,EAST   17 STREET,3 AVE,RUTHERFORD PL,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided but received no response.,02/09/2016 08:28:00 AM,06 MANHATTAN,1008980013,MANHATTAN,988410,207013,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73487854121082,-73.98498930639839,"(40.73487854121082, -73.98498930639839)"
32369857,01/08/2016 09:46:00 AM,01/11/2016 12:00:00 PM,DSNY,A - Queens,Other Enforcement,E2A Storage Of Receptacles,Sidewalk,11001,84-46 265 STREET,265 STREET,,,,,ADDRESS,Floral Park,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/11/2016 12:00:00 PM,13 QUEENS,4088070024,QUEENS,1066474,207960,PHONE,Unspecified,QUEENS,,,,,,,,40.73709658966499,-73.70329742519749,"(40.73709658966499, -73.70329742519749)"
32369859,01/08/2016 04:23:00 PM,01/08/2016 04:30:00 PM,DEP,Department of Environmental Protection,Water System,NO WATER - WNW,,11217,360 SCHERMERHN STREET,SCHERMERHN STREET,NEVINS ST,3 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,01/08/2016 04:30:00 PM,02 BROOKLYN,3001730023,BROOKLYN,989818,189452,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68667699558233,-73.97992328718976,"(40.68667699558233, -73.97992328718976)"
32369861,01/08/2016 09:18:00 AM,01/08/2016 12:00:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11219,909 45 STREET,45 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/08/2016 12:00:00 PM,12 BROOKLYN,3056070001,BROOKLYN,984768,173289,PHONE,Unspecified,BROOKLYN,,,,,,,,40.642314881163315,-73.99813347288932,"(40.642314881163315, -73.99813347288932)"
32369862,01/08/2016 03:49:00 PM,01/08/2016 03:49:00 PM,DSNY,P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,,,,,,,,,,,N/A,Closed,,"The Department of Sanitation will note this location for periodic surveillance, which may take place at various times.",01/08/2016 03:49:00 PM,10 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
32369863,01/08/2016 11:25:00 AM,01/08/2016 12:00:00 PM,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11358,,,,,35 AVENUE,162 STREET,INTERSECTION,Flushing,,N/A,Closed,,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,01/08/2016 12:00:00 PM,07 QUEENS,,QUEENS,1038739,218206,ONLINE,Unspecified,QUEENS,,,,,,,,40.76543355752323,-73.80329480657976,"(40.76543355752323, -73.80329480657976)"
32369864,01/08/2016 03:14:05 PM,01/14/2016 03:00:56 PM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11358,35-67 169 STREET,169 STREET,35 AVENUE,CROCHERON AVENUE,,,ADDRESS,FLUSHING,,N/A,Closed,02/07/2016 03:14:05 PM,The Department of Transportation has approved the sidewalk re-inspection request. The property owner will be notified by mail within 120 days with the date of re-inspection.,01/14/2016 03:00:56 PM,07 QUEENS,4052970009,QUEENS,1040504,217534,PHONE,Unspecified,QUEENS,,,,,,,,40.76357804119205,-73.79692880602522,"(40.76357804119205, -73.79692880602522)"
32369866,01/08/2016 02:30:12 PM,01/13/2016 08:22:23 AM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10010,,,,,EAST   24 STREET,MADISON AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,01/28/2016 02:30:12 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/13/2016 08:22:23 AM,05 MANHATTAN,,MANHATTAN,987706,209436,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74152937898609,-73.98752833279863,"(40.74152937898609, -73.98752833279863)"
32369869,01/08/2016 11:17:07 AM,01/13/2016 08:33:15 AM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10011,8 AVENUE,8 AVENUE,WEST 23 STREET,WEST 24 STREET,,,BLOCKFACE,NEW YORK,,N/A,Closed,01/28/2016 11:17:07 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/13/2016 08:33:15 AM,04 MANHATTAN,,MANHATTAN,984735,210927,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74562246349759,-73.99824967297616,"(40.74562246349759, -73.99824967297616)"
32369870,01/08/2016 11:23:11 AM,01/11/2016 09:54:31 AM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11218,1270 PROSPECT AVENUE,PROSPECT AVENUE,REEVE PLACE,GREENWOOD AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,02/04/2016 02:23:19 PM,A sidewalk dismissal inspection (work done by owner) has been scheduled.  Department of Transportation is in direct contact with the responsible party.,01/11/2016 09:54:07 AM,07 BROOKLYN,3052740035,BROOKLYN,990907,176947,PHONE,Unspecified,BROOKLYN,,,,,,,,40.652352812981306,-73.97600899489727,"(40.652352812981306, -73.97600899489727)"
32369871,01/08/2016 11:38:15 AM,01/11/2016 03:21:59 PM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11203,199 EAST 35 STREET,EAST 35 STREET,CHURCH AVENUE,SNYDER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,02/07/2016 11:38:15 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/11/2016 03:21:59 PM,17 BROOKLYN,3048890057,BROOKLYN,999599,176220,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65034655665826,-73.94468576175731,"(40.65034655665826, -73.94468576175731)"
32369873,01/08/2016 02:18:00 PM,01/11/2016 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11211,381 SOUTH    5 STREET,SOUTH    5 STREET,HOOPER STREET,HEWES STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/11/2016 12:00:00 PM,01 BROOKLYN,3024510003,BROOKLYN,997214,197088,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70762829300142,-73.95324060356938,"(40.70762829300142, -73.95324060356938)"
32369875,01/08/2016 07:39:00 AM,01/09/2016 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E11 Litter Surveillance,Sidewalk,10458,185 EAST  206 STREET,EAST  206 STREET,ST GEORGES CRESCENT,EAST MOSHOLU PARKWAY SOUTH,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/09/2016 12:00:00 PM,07 BRONX,2033130001,BRONX,1016261,258394,PHONE,Unspecified,BRONX,,,,,,,,40.87584812829464,-73.8842485117217,"(40.87584812829464, -73.8842485117217)"
32369876,01/08/2016 05:25:50 PM,01/12/2016 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,10011,212 WEST   20 STREET,WEST   20 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",01/12/2016 12:00:00 AM,04 MANHATTAN,1007690046,MANHATTAN,984892,209790,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.742501672740765,-73.99768318079715,"(40.742501672740765, -73.99768318079715)"
32369877,01/08/2016 12:31:00 PM,01/13/2016 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E11 Litter Surveillance,Sidewalk,11103,,,,,46 STREET,BROADWAY,INTERSECTION,Astoria,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/13/2016 12:00:00 PM,01 QUEENS,,QUEENS,1008017,214982,PHONE,Unspecified,QUEENS,,,,,,,,40.75672048338588,-73.91421245355006,"(40.75672048338588, -73.91421245355006)"
32369878,01/08/2016 11:06:41 AM,01/25/2016 12:17:38 PM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10310,,,,,BARD AVENUE,CASTLETON AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Closed,01/28/2016 11:06:41 AM,The Department of Transportation has completed the request or corrected the condition.,01/25/2016 12:17:38 PM,01 STATEN ISLAND,,STATEN ISLAND,954680,170534,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.634703653081445,-74.10653846574158,"(40.634703653081445, -74.10653846574158)"
32369879,01/08/2016 09:12:05 AM,01/29/2016 05:49:13 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,11231,438 COURT STREET,COURT STREET,2 PLACE,3 PLACE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/29/2016 09:12:05 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/29/2016 05:49:13 AM,06 BROOKLYN,3003660029,BROOKLYN,984943,186677,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67906197686925,-73.99750151344286,"(40.67906197686925, -73.99750151344286)"
32369880,01/08/2016 11:27:38 AM,02/16/2016 08:53:51 AM,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10473,2228 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,CASTLE HILL AVENUE,HAVEMEYER AVENUE,,,ADDRESS,BRONX,,N/A,Closed,01/16/2016 11:27:38 AM,The Department of Parks and Recreation performed the work necessary to correct the condition.,02/16/2016 08:53:51 AM,09 BRONX,2036940021,BRONX,1026097,240624,PHONE,Unspecified,BRONX,,,,,,,,40.82703366783587,-73.8487926032391,"(40.82703366783587, -73.8487926032391)"
32369881,01/06/2016 01:33:37 PM,01/07/2016 01:05:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10472,1636 WESTCHESTER AVENUE,WESTCHESTER AVENUE,HARROD AVENUE,MORRISON AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/07/2016 01:05:00 PM,09 BRONX,2037450005,BRONX,1019140,241580,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82968783318156,-73.87392559274963,"(40.82968783318156, -73.87392559274963)"
32369882,01/06/2016 12:11:08 PM,01/07/2016 11:35:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10455,722 BECK STREET,BECK STREET,BEND,EAST  156 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/07/2016 11:35:00 AM,02 BRONX,2027070008,BRONX,1012027,236377,UNKNOWN,Unspecified,BRONX,,,,,,,,40.815432315026435,-73.89964980707833,"(40.815432315026435, -73.89964980707833)"
32369883,01/06/2016 10:30:20 AM,01/07/2016 11:30:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10452,1234 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,ANDERSON AVENUE,WEST  168 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/07/2016 11:30:00 AM,04 BRONX,2025060033,BRONX,1005492,244605,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83803395218191,-73.9232327902938,"(40.83803395218191, -73.9232327902938)"
32369884,01/08/2016 10:50:00 AM,01/09/2016 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10457,2254 CROTONA AVENUE,CROTONA AVENUE,GROTE STREET,EAST 183 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/09/2016 12:00:00 PM,06 BRONX,2031010021,BRONX,1015973,249393,PHONE,Unspecified,BRONX,,,,,,,,40.85114416633141,-73.88533252164136,"(40.85114416633141, -73.88533252164136)"
32369885,01/08/2016 09:23:00 AM,01/12/2016 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11427,220-18 HILLSIDE AVENUE,HILLSIDE AVENUE,BRADDOCK AVENUE,MANOR ROAD,,,ADDRESS,Queens Village,,N/A,Closed,,The Department of Sanitation cleaned the location.,01/12/2016 12:00:00 PM,13 QUEENS,4079450002,QUEENS,1055392,205591,ONLINE,Unspecified,QUEENS,,,,,,,,40.73069037987462,-73.74331125731479,"(40.73069037987462, -73.74331125731479)"
32369886,01/08/2016 12:55:10 PM,01/28/2016 09:29:36 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10305,,,,,MASON AVENUE,SEAVIEW AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Closed,01/29/2016 12:55:10 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/28/2016 09:29:36 AM,02 STATEN ISLAND,,STATEN ISLAND,959669,152343,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.58478836928245,-74.08849727668095,"(40.58478836928245, -74.08849727668095)"
32369887,01/08/2016 05:35:49 PM,01/29/2016 05:49:22 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10014,,,,,KING STREET,VARICK STREET,INTERSECTION,NEW YORK,,N/A,Closed,01/29/2016 05:35:49 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",01/29/2016 05:49:22 AM,02 MANHATTAN,,MANHATTAN,982746,204462,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72787752199459,-74.00542637290448,"(40.72787752199459, -74.00542637290448)"
32369888,01/07/2016 02:25:20 PM,01/08/2016 08:20:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,CORNELIA STREET,CORNELIA STREET,CORNELIA STREET,CYPRESS AVENUE,,,BLOCKFACE,,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/08/2016 08:20:00 AM,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
32369889,01/06/2016 11:02:40 AM,01/07/2016 08:21:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11434,SOUTH CONDUIT AVENUE,SOUTH CONDUIT AVENUE,153 COURT,155 STREET,,,BLOCKFACE,Jamaica,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/07/2016 08:21:00 AM,Unspecified QUEENS,,QUEENS,1044507,182191,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.666543888496854,-73.78279479913203,"(40.666543888496854, -73.78279479913203)"
32369890,01/06/2016 08:13:16 AM,01/07/2016 11:18:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11418,90-14 102 STREET,102 STREET,90 AVENUE,91 AVENUE,,,ADDRESS,Richmond Hill,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/07/2016 11:18:00 AM,09 QUEENS,4092920017,QUEENS,1027510,191530,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69227665127693,-73.84400287552896,"(40.69227665127693, -73.84400287552896)"
32369891,01/07/2016 01:56:22 PM,01/08/2016 01:30:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10002,CHERRY STREET,CHERRY STREET,CLINTON STREET,MONTGOMERY STREET,,,BLOCKFACE,NEW YORK,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/08/2016 01:30:00 PM,03 MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,
32369892,01/08/2016 02:21:00 PM,01/12/2016 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11210,2721 FARRAGUT ROAD,FARRAGUT ROAD,FLATBUSH AVENUE,EAST 28 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/12/2016 12:00:00 PM,14 BROOKLYN,3052290002,BROOKLYN,997955,171041,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6361340144018,-73.95062087633103,"(40.6361340144018, -73.95062087633103)"
32369893,01/08/2016 11:41:00 AM,01/11/2016 12:00:00 PM,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,10033,809 WEST  177 STREET,WEST  177 STREET,FT WASHINGTON AVENUE,PINEHURST AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/11/2016 12:00:00 PM,12 MANHATTAN,1021770014,MANHATTAN,1000768,248232,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8479991031889,-73.94029607984919,"(40.8479991031889, -73.94029607984919)"
32369895,01/08/2016 03:45:06 PM,01/26/2016 11:03:04 AM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11358,199-18 32 AVENUE,32 AVENUE,JORDAN STREET,200 STREET,,,ADDRESS,FLUSHING,,N/A,Closed,02/07/2016 03:45:06 PM,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",01/26/2016 11:03:04 AM,11 QUEENS,4060260009,QUEENS,1042436,219701,ONLINE,Unspecified,QUEENS,,,,,,,,40.76951337361204,-73.78993575044053,"(40.76951337361204, -73.78993575044053)"
32369896,01/08/2016 12:09:01 PM,01/12/2016 11:57:21 AM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11238,621 PARK PLACE,PARK PLACE,NYCTA SUBWAY,FRANKLIN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,02/07/2016 12:09:01 PM,A sidewalk dismissal inspection (work done by owner) has been scheduled.  Department of Transportation is in direct contact with the responsible party.,01/12/2016 11:57:21 AM,08 BROOKLYN,3011630065,BROOKLYN,996098,184945,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67430012642094,-73.95728722028436,"(40.67430012642094, -73.95728722028436)"
32369898,01/09/2016 02:14:15 AM,01/09/2016 11:24:12 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11377,48-21 44 STREET,44 STREET,48 AVENUE,50 AVENUE,,,ADDRESS,WOODSIDE,,Precinct,Closed,01/09/2016 10:14:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/09/2016 11:24:12 AM,02 QUEENS,4022880022,QUEENS,1006016,208451,PHONE,Unspecified,QUEENS,,,,,,,,40.73879969017265,-73.92145624350323,"(40.73879969017265, -73.92145624350323)"
